Client Order ID,Order ID,Instrument,Side,Price,Quantity,Status,Reason,Transaction Time
ordC1,ord8,Lotus,0,40.00,100,1,"Invalid Side",20260327-001521.621
ordC2,ord9,Orchid,1,0.00,100,1,"Invalid Price",20260327-001521.621
ordC3,ord10,Lavender,2,25.00,35,1,"Quantity Not Multiple Of 10",20260327-001521.621
ordC4,ord11,Orchid,2,31.50,100,0,"",20260327-001521.622
ordC5,ord12,Orchid,1,31.50,40,2,"",20260327-001521.622
ordA1,ord1,Rose,2,55.00,100,0,"",20260327-001521.622
ordA2,ord2,Rose,2,45.00,100,0,"",20260327-001521.622
ordA3,ord3,Rose,1,45.00,100,3,"",20260327-001521.622
ordA3,ord3,Rose,1,45.00,100,3,"Remaining quantity added to book",20260327-001521.622
ordA4,ord4,Rose,1,55.00,50,2,"",20260327-001521.622
ordB1,ord5,Tulip,1,20.00,100,0,"",20260327-001521.622
ordB2,ord6,Tulip,2,20.00,50,2,"",20260327-001521.622
ordB3,ord7,Tulip,2,20.00,50,2,"",20260327-001521.622
